domain_composition,score,Assay Name,Donor Name,Experimental Timepoint,T Cell Type,K562 Condition,Sorted Cell Group,Read Count
TACI,0.500151754245638,CTV1,d2,4d,CD8,pos,prolif1_d2_4d_CTV1_CD8_pos,6827
TACI,0.428332679021944,CTV2,d2,14d,CD8,pos,prolif1_d2_14d_CTV2_CD8_pos,36269
TACI,1.0100299119588,CTV1,d2,4d,CD8,neg,prolif2_d2_4d_CTV1_CD8_neg,92534
TACI,0.416415001733615,CTV1,d2,4d,CD8,pos,prolif2_d2_4d_CTV1_CD8_pos,10170
TACI,0.0,baseline,d2,0h,CD8,,prolif1_d2_0h_baseline_CD8_NA,1313
TACI,0.0,baseline,d2,0h,CD8,,prolif2_d2_0h_baseline_CD8_NA,18918
TACI,0.0919710762954443,CTV3,d2,24d,CD8,pos,prolif1_d2_24d_CTV3_CD8_pos,31421
TACI,0.387643680943921,CTV2,d2,16d,CD8,pos,prolif2_d2_16d_CTV2_CD8_pos,30105
TACI,0.293157378526112,CTV3,d2,24d,CD8,pos,prolif2_d2_24d_CTV3_CD8_pos,42268
TACI,0.443077178365963,CTV1,d2,4d,CD8,neg,prolif1_d2_4d_CTV1_CD8_neg,17446
TACI,0.500151754245638,CTV1,d2,4d,CD8,pos,prolif1_d2_4d_CTV1_CD8_pos,40404
TACI,0.258406762449495,CTV2,d2,14d,CD8,neg,prolif1_d2_14d_CTV2_CD8_neg,60294
TACI,0.428332679021944,CTV2,d2,14d,CD8,pos,prolif1_d2_14d_CTV2_CD8_pos,37067
TACI,1.0100299119588,CTV1,d2,4d,CD8,neg,prolif2_d2_4d_CTV1_CD8_neg,51882
TACI,0.416415001733615,CTV1,d2,4d,CD8,pos,prolif2_d2_4d_CTV1_CD8_pos,34967
TACI,0.0919710762954443,CTV3,d2,24d,CD8,pos,prolif1_d2_24d_CTV3_CD8_pos,28747
TACI,0.237427980526458,CTV2,d2,16d,CD8,neg,prolif2_d2_16d_CTV2_CD8_neg,70599
TACI,0.387643680943921,CTV2,d2,16d,CD8,pos,prolif2_d2_16d_CTV2_CD8_pos,43658
TACI,0.423802035073558,CTV3,d2,24d,CD8,neg,prolif2_d2_24d_CTV3_CD8_neg,100068
TACI,0.293157378526112,CTV3,d2,24d,CD8,pos,prolif2_d2_24d_CTV3_CD8_pos,36247
TACI,0.443077178365963,CTV1,d2,4d,CD8,neg,prolif1_d2_4d_CTV1_CD8_neg,15881
TACI,0.500151754245638,CTV1,d2,4d,CD8,pos,prolif1_d2_4d_CTV1_CD8_pos,14771
TACI,0.258406762449495,CTV2,d2,14d,CD8,neg,prolif1_d2_14d_CTV2_CD8_neg,39342
TACI,0.428332679021944,CTV2,d2,14d,CD8,pos,prolif1_d2_14d_CTV2_CD8_pos,34648
TACI,1.0100299119588,CTV1,d2,4d,CD8,neg,prolif2_d2_4d_CTV1_CD8_neg,23800
TACI,0.416415001733615,CTV1,d2,4d,CD8,pos,prolif2_d2_4d_CTV1_CD8_pos,21082
TACI,0.127729832112005,CTV3,d2,24d,CD8,neg,prolif1_d2_24d_CTV3_CD8_neg,59534
TACI,0.0919710762954443,CTV3,d2,24d,CD8,pos,prolif1_d2_24d_CTV3_CD8_pos,13729
TACI,0.237427980526458,CTV2,d2,16d,CD8,neg,prolif2_d2_16d_CTV2_CD8_neg,51246
TACI,0.387643680943921,CTV2,d2,16d,CD8,pos,prolif2_d2_16d_CTV2_CD8_pos,31172
TACI,0.423802035073558,CTV3,d2,24d,CD8,neg,prolif2_d2_24d_CTV3_CD8_neg,82201
TACI,0.293157378526112,CTV3,d2,24d,CD8,pos,prolif2_d2_24d_CTV3_CD8_pos,27174
TACI,0.443077178365963,CTV1,d2,4d,CD8,neg,prolif1_d2_4d_CTV1_CD8_neg,17182
TACI,0.500151754245638,CTV1,d2,4d,CD8,pos,prolif1_d2_4d_CTV1_CD8_pos,10317
TACI,0.258406762449495,CTV2,d2,14d,CD8,neg,prolif1_d2_14d_CTV2_CD8_neg,41851
TACI,0.428332679021944,CTV2,d2,14d,CD8,pos,prolif1_d2_14d_CTV2_CD8_pos,24934
TACI,1.0100299119588,CTV1,d2,4d,CD8,neg,prolif2_d2_4d_CTV1_CD8_neg,35836
TACI,0.416415001733615,CTV1,d2,4d,CD8,pos,prolif2_d2_4d_CTV1_CD8_pos,7308
TACI,0.127729832112005,CTV3,d2,24d,CD8,neg,prolif1_d2_24d_CTV3_CD8_neg,29139
TACI,0.0919710762954443,CTV3,d2,24d,CD8,pos,prolif1_d2_24d_CTV3_CD8_pos,22845
TACI,0.237427980526458,CTV2,d2,16d,CD8,neg,prolif2_d2_16d_CTV2_CD8_neg,30770
